Task,Month,Date,WeekDay,Class,Weight
HW 5.1 Score Report ,11,11,5,[MATH 341],0
HW 5.1 Upload ,11,11,5,[MATH 341],1.5
What I know now: Thinking Shift Assignment #2 ,11,12,6,[REL 275C],1
W09 Assignment: Joins,11,12,6, [CIT 111],1.5
Analysis - Car Prices ,11,12,6,[MATH 325],3
W09 Quiz: Prove,11,12,6, [CIT 111],1
W09 Quiz: Proctorio Practice (Remotely Proctored),11,12,6, [CIT 111],0
Week 9 Attendance Quiz ,11,12,6,[MATH 341],0
Assessment Quiz - Multiple Linear Regression ,11,12,6,[MATH 325],0.25
HW 5.2 Score Report ,11,14,1,[MATH 341],0
Reading Quiz 5.3 (Section 1) ,11,14,1,[MATH 341],0.5
HW 5.2 Upload ,11,14,1,[MATH 341],1.5
Module 05 - Holdout Set Predictions,11,15,2, [CSE 450],1.5
Module 05 - Executive Summary,11,15,2, [CSE 450],3
Peer Review Report - Car Prices Analysis ,11,15,2,[MATH 325],0.5
Prep assessment #9 ,11,15,2,[REL 275C],0.25
Attendance Reflection #18 ,11,15,2,[REL 275C],0.25
Class Activity - Simple Logistic Regression (Part 1) ,11,15,2,[MATH 325],0
HW 5.3 Score Report ,11,16,3,[MATH 341],1.5
W10 Quiz: Prepare,11,16,3, [CIT 111],0
W10 Discussion Board: Summary Queries,11,16,3, [CIT 111],1
Module 05 - Personal Reflection Survey,11,16,3, [CSE 450],0.25
HW 5.3 Upload ,11,16,3,[MATH 341],1.5
Attendance Reflection #19 ,11,17,4,[REL 275C],0
Skills Quiz - Logistic Regression ,11,17,4,[MATH 325],0.5
Class Activity - Simple Logistic Regression (Part 2) ,11,17,4,[MATH 325],0


