SUMMARY,DTSTART,
HW 5.1 Score Report [MATH 341],11/11/2022 0:00,[MATH 341]
HW 5.1 Upload [MATH 341],11/11/2022 23:00,[MATH 341]
What I know now: Thinking Shift Assignment #2 [REL 275C],11/12/2022 0:00,[REL 275C]
W09 Assignment: Joins [CIT 111],11/12/2022 0:00, [CIT 111]
Analysis - Car Prices [MATH 325],11/12/2022 0:00,[MATH 325]
W09 Quiz: Prove [CIT 111],11/12/2022 0:00, [CIT 111]
W09 Quiz: Proctorio Practice (Remotely Proctored) [CIT 111],11/12/2022 0:00, [CIT 111]
Week 9 Attendance Quiz [MATH 341],11/12/2022 0:00,[MATH 341]
Assessment Quiz - Multiple Linear Regression [MATH 325],11/12/2022 0:00,[MATH 325]
HW 5.2 Score Report [MATH 341],11/14/2022 0:00,[MATH 341]
Reading Quiz 5.3 (Section 1) [MATH 341],11/14/2022 8:45,[MATH 341]
HW 5.2 Upload [MATH 341],11/14/2022 23:00,[MATH 341]
Module 05 - Holdout Set Predictions [CSE 450],11/15/2022 0:00, [CSE 450]
Module 05 - Executive Summary [CSE 450],11/15/2022 0:00, [CSE 450]
Peer Review Report - Car Prices Analysis [MATH 325],11/15/2022 0:00,[MATH 325]
Prep assessment #9 [REL 275C],11/15/2022 0:00,[REL 275C]
Attendance Reflection #18 [REL 275C],11/15/2022 0:00,[REL 275C]
Class Activity - Simple Logistic Regression (Part 1) [MATH 325],11/15/2022 0:00,[MATH 325]
HW 5.3 Score Report [MATH 341],11/16/2022 0:00,[MATH 341]
W10 Quiz: Prepare [CIT 111],11/16/2022 0:00, [CIT 111]
W10 Discussion Board: Summary Queries [CIT 111],11/16/2022 0:00, [CIT 111]
Module 05 - Personal Reflection Survey [CSE 450],11/16/2022 0:00, [CSE 450]
HW 5.3 Upload [MATH 341],11/16/2022 23:00,[MATH 341]
Attendance Reflection #19 [REL 275C],11/17/2022 0:00,[REL 275C]
Skills Quiz - Logistic Regression [MATH 325],11/17/2022 0:00,[MATH 325]
Class Activity - Simple Logistic Regression (Part 2) [MATH 325],11/17/2022 0:00,[MATH 325]
Analysis - My Logistic Regression [MATH 325],11/19/2022 0:00,[MATH 325]
Assessment Quiz - Logistic Regression [MATH 325],11/19/2022 0:00,[MATH 325]
Week 10 Attendance Quiz [MATH 341],11/19/2022 0:00,[MATH 341]
Module 06 - Individual Readiness Assessment Test (iRAT) [CSE 450],11/19/2022 0:00, [CSE 450]
W10 Assignment: Summary Queries [CIT 111],11/19/2022 0:00, [CIT 111]
W10 Quiz: Prove (Remotely Proctored) [CIT 111],11/19/2022 0:00, [CIT 111]
Reading Quiz 4.9 (Section 1) [MATH 341],11/21/2022 8:45,[MATH 341]
Module 06 - Team Readiness Assessment Test (tRAT) [CSE 450],11/21/2022 12:30, [CSE 450]
Prep assessment #10 [REL 275C],11/22/2022 0:00,[REL 275C]
Attendance Reflection #20 [REL 275C],11/22/2022 0:00,[REL 275C]
Peer Review Report - My Logistic Regression Analysis [MATH 325],11/22/2022 0:00,[MATH 325]
Exam 3 Take-home Portion [MATH 341],11/22/2022 0:00,[MATH 341]
Exam 3 (Testing Center) [MATH 341],11/22/2022 21:00,[MATH 341]
Skills Quiz - Practice Final Exam [MATH 325],11/24/2022 0:00,[MATH 325]
W11 Assignment Project: Part 1 [CIT 111],11/26/2022 0:00, [CIT 111]
W11 Student Evaluation of Instructor [CIT 111],11/26/2022 0:00, [CIT 111]
Analysis - Consulting Project [MATH 325],11/26/2022 0:00,[MATH 325]
Week 11 Attendance Quiz [MATH 341],11/26/2022 0:00,[MATH 341]
HW 4.9 Score Report [MATH 341],11/28/2022 0:00,[MATH 341]
What I know now: Thinking Shift Assignment #3 [REL 275C],11/28/2022 0:00,[REL 275C]
Python Assignment 2 Upload [MATH 341],11/28/2022 0:00,[MATH 341]
Reading Quiz 6.1 [MATH 341],11/28/2022 13:45,[MATH 341]
HW 4.9 Upload [MATH 341],11/28/2022 23:00,[MATH 341]
Class Activity - Chi Squared Test [MATH 325],11/29/2022 0:00,[MATH 325]
Prep assessment #11 [REL 275C],11/29/2022 0:00,[REL 275C]
Attendance Reflection #21 [REL 275C],11/29/2022 0:00,[REL 275C]
HW 6.1 Score Report [MATH 341],11/30/2022 0:00,[MATH 341]
W12 Discussion Board: Describing Skills on Resumes [CIT 111],11/30/2022 0:00, [CIT 111]
HW 6.1 Upload [MATH 341],11/30/2022 12:30,[MATH 341]
Reading Quiz 6.2 [MATH 341],11/30/2022 13:45,[MATH 341]
Attendance Reflection #22 [REL 275C],12/1/2022 0:00,[REL 275C]
Skills Quiz - Chi Squared Test [MATH 325],12/1/2022 0:00,[MATH 325]
Class Activity - Chi Squared Survey Results [MATH 325],12/1/2022 0:00,[MATH 325]
HW 6.2 Score Report [MATH 341],12/2/2022 0:00,[MATH 341]
HW 6.2 Upload [MATH 341],12/2/2022 12:30,[MATH 341]
Reading Quiz 6.3 [MATH 341],12/2/2022 13:45,[MATH 341]
Course Evaluation - Extra credit [MATH 341],12/3/2022 0:00,[MATH 341]
Module 06 - Content Creation [CSE 450],12/3/2022 0:00, [CSE 450]
W12 Assignment Project: Part 2 [CIT 111],12/3/2022 0:00, [CIT 111]
Week 12 Attendance Quiz [MATH 341],12/3/2022 0:00,[MATH 341]
Analysis - My Chi Squared Test [MATH 325],12/3/2022 0:00,[MATH 325]
Module 06- Executive Summary [CSE 450],12/3/2022 0:00, [CSE 450]
Assessment Quiz - Chi-squared [MATH 325],12/3/2022 0:00,[MATH 325]
Module 06 - Personal Reflection Survey [CSE 450],12/5/2022 0:00, [CSE 450]
HW 6.3 Score Report [MATH 341],12/5/2022 0:00,[MATH 341]
HW 6.3 Upload [MATH 341],12/5/2022 12:30,[MATH 341]
Reading Quiz 6.4 [MATH 341],12/5/2022 13:45,[MATH 341]
Prep assessment #12 [REL 275C],12/6/2022 0:00,[REL 275C]
Class Activity - Permutation Testing (Part 1) [MATH 325],12/6/2022 0:00,[MATH 325]
Peer Review Report - My Chi Squared Analysis [MATH 325],12/6/2022 0:00,[MATH 325]
Attendance Reflection #23 [REL 275C],12/6/2022 0:00,[REL 275C]
HW 6.4 Score Report [MATH 341],12/7/2022 0:00,[MATH 341]
HW 6.4 Upload [MATH 341],12/7/2022 12:30,[MATH 341]
Reading Quiz 6.5 [MATH 341],12/7/2022 13:45,[MATH 341]
Module 07 - Prepare (Proposal) [CSE 450],12/8/2022 0:00, [CSE 450]
Top Five Teachings/Doctrine of The Book of Mormon Project [REL 275C],12/8/2022 0:00,[REL 275C]
Class Activity - Permutation Testing (Part 2) [MATH 325],12/8/2022 0:00,[MATH 325]
Skills Quiz - Randomization Testing [MATH 325],12/8/2022 0:00,[MATH 325]
HW 6.5 Score Report [MATH 341],12/9/2022 0:00,[MATH 341]
Module 07 - Part 1 (In Class Lesson or Video Lesson) [CSE 450],12/9/2022 0:00, [CSE 450]
HW 6.5 Upload [MATH 341],12/9/2022 12:30,[MATH 341]
Reading Quiz 6.7 [MATH 341],12/9/2022 13:45,[MATH 341]
REL 275 Cornerstone Assessment [REL 275C],12/10/2022 0:00,[REL 275C]
W13 Final Exam: Coding (Remotely Proctored) [CIT 111],12/10/2022 0:00, [CIT 111]
Assessment Quiz - Randomization Testing [MATH 325],12/10/2022 0:00,[MATH 325]
Week 13 Attendance Quiz [MATH 341],12/10/2022 0:00,[MATH 341]
Module 07 - Part 2 (Executive Summary) [CSE 450],12/12/2022 0:00, [CSE 450]
Python Assignment 3 Upload [MATH 341],12/12/2022 0:00,[MATH 341]
HW 6.7 Score Report [MATH 341],12/12/2022 0:00,[MATH 341]
HW 6.7 Upload [MATH 341],12/12/2022 12:30,[MATH 341]
Skills Quiz - Practice Final Exam 2 [MATH 325],12/13/2022 0:00,[MATH 325]
Class Activity - Statistics Notebook Organization [MATH 325],12/13/2022 0:00,[MATH 325]
W13 End-of-Course Evaluation [CIT 111],12/14/2022 0:00, [CIT 111]
W14 Final Exam: Questions (Remotely Proctored) [CIT 111],12/14/2022 0:00, [CIT 111]
Final Exam (Testing Center) [MATH 341],12/14/2022 21:00,[MATH 341]
Week 14 Attendance Quiz [MATH 341],12/17/2022 0:00,[MATH 341]
