layer1,layer2,layer3,optimizer,length,R2,hot code,Normalized,LR,batch
450,0,0,adam,90,0.93,Y,Y,0.001,32
200,200,200,adam,90,0.92,Y,Y,0.01,32
450,130,0,adamax,130,0.938,Y,Y,0.01,30
450,130,0,adamax,130,0.936,Y,Y,0.01,60
450,130,0,adamax,130,0.935,Y,Y,0.01,32
450,0,0,adam,90,0.934,Y,Y,0.01,32
450,130,0,adamax,130,0.932,Y,Y,0.01,5
450,130,0,adamax,130,0.932,Y,Y,0.01,10
78,400,0,adam,227,0.926841877,Y,N,0.01,32
78,300,0,adam,293,0.925703284,Y,N,0.01,32
78,200,0,adam,189,0.923519449,Y,N,0.01,32
195,78,0,adam,200,0.923226185,Y,N,0.01,32
39,400,0,adam,209,0.922761107,Y,N,0.01,32
300,0,0,adam,250,0.921672729,Y,N,0.01,32
78,400,0,adam,191,0.920686367,Y,N,0.01,32
450,0,0,adam,250,0.919927179,Y,N,0.01,32
195,0,0,adam,250,0.919589547,Y,N,0.01,32
100,200,0,adam,200,0.919356394,Y,N,0.01,32
400,0,0,adam,200,0.9189,Y,N,0.01,32
100,300,0,adam,200,0.918873078,Y,N,0.01,32
450,0,0,adam,200,0.918340891,Y,N,0.01,32
100,400,0,adam,200,0.917397456,Y,N,0.01,32
195,39,0,adam,155,0.915971147,Y,N,0.01,32
300,0,0,adam,200,0.9155,Y,N,0.01,32
39,200,0,adam,200,0.914489015,Y,N,0.01,32
39,300,0,adam,200,0.914095257,Y,N,0.01,32
100,400,0,adam,262,0.913092283,Y,N,0.01,32
200,0,0,adam,200,0.9117,Y,N,0.01,32
78,300,0,adam,191,0.909574818,Y,N,0.01,32
100,200,0,adam,499,0.90707169,Y,N,0.01,32
300,0,0,adam,200,0.9034,Y,Y,0.01,32
78,200,0,adam,212,0.90079405,Y,N,0.01,32
450,78,0,adam,200,0.899878222,Y,N,0.01,32
100,0,0,adam,250,0.895095901,Y,N,0.01,32
450,39,0,adam,184,0.890790633,Y,N,0.01,32
500,0,0,adam,200,0.8903,Y,Y,0.01,32
39,300,0,adam,255,0.887833949,Y,N,0.01,32
39,400,0,adam,151,0.886201408,Y,N,0.01,32
500,0,0,adam,200,0.8745,Y,N,0.01,32
400,0,0,adam,200,0.8725,Y,Y,0.01,32
39,200,0,adam,291,0.859663332,Y,N,0.01,32
500,0,0,adamax,200,0.8473,Y,Y,0.01,32
100,300,0,adam,227,0.846245498,Y,N,0.01,32
450,0,0,adamax,200,0.822682765,Y,N,0.01,32
500,0,0,adamax,200,0.821,Y,N,0.01,32
400,0,0,adamax,200,0.811,Y,N,0.01,32
400,0,0,adamax,200,0.811,Y,Y,0.01,32
300,0,0,adamax,200,0.8012,Y,N,0.01,32
300,0,0,adamax,200,0.7959,Y,Y,0.01,32
200,0,0,adamax,200,0.7637,Y,N,0.01,32
450,0,0,adam,250,0.615164721,N,N,0.01,32
300,0,0,adam,250,0.589120881,N,N,0.01,32
195,0,0,adam,250,0.588725512,N,N,0.01,32
450,0,0,adamax,400,0.575754645,N,N,0.01,32
100,0,0,adam,250,0.557464384,N,N,0.01,32
300,0,0,adamax,400,0.548096141,N,N,0.01,32
450,0,0,adamax,250,0.531410591,N,N,0.01,32
195,0,0,adamax,400,0.528517881,N,N,0.01,32
100,0,0,adamax,400,0.506727852,N,N,0.01,32
300,0,0,adamax,250,0.496920721,N,N,0.01,32
195,0,0,adamax,250,0.494816023,N,N,0.01,32
100,0,0,adamax,250,0.481677036,N,N,0.01,32
